st,year,ind_limits_2010,ind2pty_limits_2010,pty_limits_2010,pac_limits_2010,total_limits_2010
AK,2012,954,9545,19090,1909,99999
AK,2011,969,9694,19388,1939,99999
AK,2010,1000,10000,20000,2000,99999
AK,2009,1016,10164,20328,2033,99999
AK,2008,1013,10128,20256,2026,99999
AK,2007,1052,10517,21033,2103,99999
AK,2006,2163,21633,21633,4327,99999
AK,2005,2233,22330,22330,4466,99999
AK,2004,2309,23087,23087,4617,99999
AK,2003,1185,11853,23707,2371,99999
AK,2002,1212,12122,24245,2424,99999
AK,2001,1231,12313,24625,2463,99999
AK,2000,1266,12663,25326,2533,99999
AK,1999,1309,13089,26177,2618,99999
AK,1998,1338,13378,26755,2676,99999
AK,1997,1359,13586,27172,2717,99999
AK,1996,2780,13898,27796,2780,99999
AK,1995,2862,14308,99999,2862,99999
AK,1994,2943,14714,99999,2943,99999
AK,1993,3018,15090,99999,3018,99999
AK,1992,3108,15542,99999,3108,99999
AK,1991,3202,16010,99999,3202,99999
AK,1990,3337,16684,99999,3337,99999
AL,2012,99999,99999,99999,99999,99999
AL,2011,99999,99999,99999,99999,99999
AL,2010,99999,99999,99999,99999,99999
AL,2009,99999,99999,99999,99999,99999
AL,2008,99999,99999,99999,99999,99999
AL,2007,99999,99999,99999,99999,99999
AL,2006,99999,99999,99999,99999,99999
AL,2005,99999,99999,99999,99999,99999
AL,2004,99999,99999,99999,99999,99999
AL,2003,99999,99999,99999,99999,99999
AL,2002,99999,99999,99999,99999,99999
AL,2001,99999,99999,99999,99999,99999
AL,2000,99999,99999,99999,99999,99999
AL,1999,99999,99999,99999,99999,99999
AL,1998,99999,99999,99999,99999,99999
AL,1997,99999,99999,99999,99999,99999
AL,1996,99999,99999,99999,99999,99999
AL,1995,99999,99999,99999,99999,99999
AL,1994,99999,99999,99999,99999,99999
AL,1993,99999,99999,99999,99999,99999
AL,1992,99999,99999,99999,99999,99999
AL,1991,99999,99999,99999,99999,99999
AL,1990,99999,99999,99999,99999,99999
AR,2012,3818,99999,4772,3818,99999
AR,2011,3878,99999,4847,3878,99999
AR,2010,4000,99999,5000,4000,99999
AR,2009,4066,99999,5082,4066,99999
AR,2008,4051,99999,5064,4051,99999
AR,2007,4207,99999,5258,4207,99999
AR,2006,4327,99999,5408,4327,99999
AR,2005,2233,99999,5583,4466,99999
AR,2004,2309,99999,5772,2309,99999
AR,2003,2371,99999,5927,2371,99999
AR,2002,2424,99999,6061,2424,99999
AR,2001,2463,99999,6156,2463,99999
AR,2000,2533,99999,6331,253,99999
AR,1999,2618,99999,6544,262,99999
AR,1998,2676,99999,6689,268,99999
AR,1997,272,99999,6793,272,99999
AR,1996,2780,99999,6949,278,99999
AR,1995,2862,99999,7154,2862,99999
AR,1994,2943,99999,7357,2943,99999
AR,1993,3018,99999,7545,3018,99999
AR,1992,3108,99999,7771,3108,99999
AR,1991,4803,99999,8005,4803,99999
AR,1990,5005,99999,8342,5005,99999
AZ,2012,932,99999,19128,932,99999
AZ,2011,822,99999,19427,822,99999
AZ,2010,820,99999,20040,848,99999
AZ,2009,833,99999,20369,3328,99999
AZ,2008,790,99999,20296,3316,99999
AZ,2007,820,99999,21076,3370,99999
AZ,2006,800,99999,16354,3466,99999
AZ,2005,826,99999,16882,3508,99999
AZ,2004,808,99999,17454,3627,99999
AZ,2003,830,99999,17922,3653,99999
AZ,2002,824,99999,18329,3736,99999
AZ,2001,837,99999,18617,3718,99999
AZ,2000,810,99999,19146,3824,99999
AZ,1999,838,99999,16727,3393,99999
AZ,1998,803,99999,17097,3398,99999
AZ,1997,815,99999,17363,3451,99999
AZ,1996,750,99999,17761,3530,99999
AZ,1995,773,99999,18286,3634,99999
AZ,1994,736,99999,18804,3737,99999
AZ,1993,755,99999,99999,3320,99999
AZ,1992,746,99999,99999,3419,99999
AZ,1991,768,99999,99999,3522,99999
AZ,1990,734,99999,99999,3670,99999
CA,2012,7445,99999,99999,14890,70646
CA,2011,7561,99999,99999,15123,68990
CA,2010,7800,99999,99999,15600,68430
CA,2009,7928,99999,99999,15856,66877
CA,2008,7292,99999,99999,14584,64077
CA,2007,7572,99999,99999,15144,63977
CA,2006,7139,99999,99999,14494,63269
CA,2005,7369,99999,99999,14961,62797
CA,2004,7388,99999,99999,14776,62427
CA,2003,7586,99999,99999,15172,61638
CA,2002,7273,99999,99999,14547,60612
CA,2001,7388,99999,99999,14775,99999
CA,2000,99999,99999,99999,99999,99999
CA,1999,99999,99999,99999,99999,99999
CA,1998,99999,99999,99999,99999,99999
CA,1997,99999,99999,99999,99999,99999
CA,1996,99999,99999,99999,99999,99999
CA,1995,99999,99999,99999,99999,99999
CA,1994,99999,99999,99999,99999,99999
CA,1993,99999,99999,99999,99999,99999
CA,1992,99999,99999,99999,99999,99999
CA,1991,3202,99999,16010,8005,99999
CA,1990,3337,99999,16684,8342,99999
CO,2012,382,4772,12408,382,99999
CO,2011,388,4847,12602,388,99999
CO,2010,400,5000,13000,400,99999
CO,2009,407,5082,13213,407,99999
CO,2008,405,5064,13166,405,99999
CO,2007,421,5258,13672,421,99999
CO,2006,433,5408,14061,10816,99999
CO,2005,447,5583,14515,11165,99999
CO,2004,462,5772,15007,11543,99999
CO,2003,474,5927,15409,11853,99999
CO,2002,2424,121223,99999,12122,99999
CO,2001,2463,123126,99999,12313,99999
CO,2000,2533,126630,99999,12663,99999
CO,1999,99999,6544,26177,13089,99999
CO,1998,268,6689,26755,99999,99999
CO,1997,272,6793,27172,99999,99999
CO,1996,99999,6949,27796,99999,99999
CO,1995,99999,7154,99999,99999,99999
CO,1994,99999,7357,99999,99999,99999
CO,1993,99999,7545,99999,99999,99999
CO,1992,99999,7771,99999,99999,99999
CO,1991,99999,8005,99999,99999,99999
CO,1990,99999,8342,99999,99999,99999
CT,2012,477,9545,9545,1432,28635
CT,2011,485,9694,9694,1454,29082
CT,2010,500,10000,10000,1500,30000
CT,2009,508,10164,10164,1525,30492
CT,2008,506,10128,10128,1519,30384
CT,2007,526,10517,10517,1578,31550
CT,2006,541,10816,10816,541,32449
CT,2005,558,11165,99999,558,33496
CT,2004,577,11543,99999,577,34630
CT,2003,593,11853,99999,593,35560
CT,2002,606,12122,99999,606,36367
CT,2001,616,12313,99999,616,36938
CT,2000,633,12663,99999,633,37989
CT,1999,654,13089,99999,654,39266
CT,1998,669,13378,99999,669,40133
CT,1997,679,13586,99999,679,40758
CT,1996,695,13898,99999,695,41693
CT,1995,715,14308,99999,715,42924
CT,1994,736,14714,99999,1471,44141
CT,1993,755,15090,99999,1509,45271
CT,1992,777,15542,99999,1554,46626
CT,1991,800,16010,99999,800,48030
CT,1990,834,16684,99999,834,50051
DE,2012,573,19090,2863,573,99999
DE,2011,582,19388,2908,582,99999
DE,2010,600,20000,3000,600,99999
DE,2009,610,20328,3049,610,99999
DE,2008,608,20256,3038,608,99999
DE,2007,631,21033,3155,631,99999
DE,2006,649,21633,3245,649,99999
DE,2005,670,22330,3350,670,99999
DE,2004,693,23087,3463,693,99999
DE,2003,711,23707,3556,711,99999
DE,2002,727,24245,3637,727,99999
DE,2001,739,24625,3694,739,99999
DE,2000,760,25326,3799,760,99999
DE,1999,785,26177,3927,785,99999
DE,1998,803,26755,4013,803,99999
DE,1997,815,27172,4076,815,99999
DE,1996,834,27796,4169,834,99999
DE,1995,858,28616,4292,858,99999
DE,1994,883,29427,4414,883,99999
DE,1993,905,30181,4527,905,99999
DE,1992,933,31084,4663,933,99999
DE,1991,961,32020,4803,961,99999
