""	"cycle"	"bonica_rid"	"recipient_name"	"share.ind"	"share.group"	"recipient_state"	"recipient_party"	"np_score"	"candidate_cfscore"	"state.party"	"total.raised"
"11"	1998	"cand106535"	"SUNSERI, RON"	0.195994222080853	0.662841072069322	"OR"	200	1.103	0.336327755425085	"OR-200"	177219.51
"15"	1996	"cand111819"	"ARRINGTON, JOHN"	0	0.437005277044855	"UT"	100	0.303	0.24216806650771	"UT-100"	6064
"116"	1996	"cand112626"	"BRADSHAW, AFTON"	0.0890327802509106	0.556454876568191	"UT"	200	0.029	0.69878551243339	"UT-200"	12355
"117"	1998	"cand112626"	"BRADSHAW, AFTON"	0.1094947292179	0.579670979778448	"UT"	200	0.029	0.69878551243339	"UT-200"	15297.54
"118"	2000	"cand112626"	"BRADSHAW, AFTON"	0.157253308871708	0.786397588782597	"UT"	200	0.029	0.69878551243339	"UT-200"	7631
"120"	1996	"cand112628"	"BROWN, MELVIN"	0.0375899760063983	0.706478272460677	"UT"	200	0.756	0.623242792446049	"UT-200"	37510
"121"	1998	"cand112628"	"BROWN, MELVIN R"	0.0466051182369231	0.807422676741402	"UT"	200	0.756	0.623242792446049	"UT-200"	38193.23
"123"	2008	"cand112628"	"BROWN, MELVIN R"	0.0230875788825612	0.779385357344415	"UT"	200	0.756	0.623242792446049	"UT-200"	19491
"125"	2012	"cand112628"	"BROWN, MELVIN R"	0	0.896646168156684	"UT"	200	0.756	0.623242792446049	"UT-200"	19351
"127"	1996	"cand112652"	"DAVIS, GENE"	0.111998746867168	0.639619883040936	"UT"	100	-0.794	0.208786846870023	"UT-100"	19152
"129"	1996	"cand112659"	"ELLERTSON, R LEE"	0	1	"UT"	200	0.98	0.640680073776159	"UT-200"	100
"133"	1996	"cand112793"	"GOODFELLOW, BRENT"	0.0188594521778177	0.752132914234396	"UT"	100	-0.53	0.346008439999045	"UT-100"	11135
"134"	1998	"cand112793"	"GOODFELLOW, BRENT H"	0.0207447360232341	0.726065760813194	"UT"	100	-0.53	0.346008439999045	"UT-100"	9641
"135"	2000	"cand112793"	"GOODFELLOW, BRENT"	0.026480972930561	0.72584019877076	"UT"	100	-0.53	0.346008439999045	"UT-100"	15294
"136"	2002	"cand112793"	"GOODFELLOW, BRENT H"	0	0.865066743771384	"UT"	100	-0.53	0.346008439999045	"UT-100"	20751
"137"	2004	"cand112793"	"GOODFELLOW, BRENT H"	0.0178173719376392	0.833704528582034	"UT"	100	-0.53	0.346008439999045	"UT-100"	33675
"139"	1996	"cand112803"	"HAYMOND, J BRENT"	0.127659574468085	0.702127659574468	"UT"	200	0.635	0.88998671782802	"UT-200"	9400
"140"	1998	"cand112803"	"HAYMOND, J BRENT"	0.23433242506812	0.694822888283379	"UT"	200	0.635	0.88998671782802	"UT-200"	3670
"142"	1996	"cand112853"	"OLSEN, EVAN L"	0.075600827630113	0.597326118096451	"UT"	200	1.493	1.02047493124645	"UT-200"	6283
