""	"ind.contributions"	"high.median.prof"	"year"	"group.contributions"
"1"	1500	0	2000	7025
"2"	37190.5	0	2010	12400
"3"	28600	0	2012	7350
"4"	13291.62	0	1998	2225
"5"	18731.99	1	2000	6897
"6"	22752	0	1994	0
"7"	1600	1	2002	1800
"8"	25144	1	2004	5000
"9"	16740	1	2006	11300
"10"	30482.76	1	2008	14100
"11"	2900	1	1996	32670
"12"	3440	1	2002	450
"13"	10040	1	2004	5180
"14"	16674	1	2006	16020
"15"	1540	1	2008	2070
"16"	24595	1	2010	17025
"17"	16501.08	0	2004	77527.89
"18"	5519.69	0	2006	91136.97
"19"	19960	0	2008	224048.5
"20"	0	0	1990	10350
"21"	2000	0	1992	16500
"22"	3400	0	2008	13900
"23"	7950	0	2010	19175
"24"	59523.62	0	2012	24475
"25"	5630	0	1998	4950
"26"	11769	0	2000	8000
"27"	5500	0	2002	12050
"28"	1600	0	2004	10500
"29"	191041	1	2002	350798.72
"30"	141273.61	1	2004	373149
"31"	121051.43	1	2006	473874
"32"	85820	1	1998	305043
"33"	42250	1	2000	360842
"34"	22150	1	2010	301682.42
"35"	172207.02	1	2006	586974.79
"36"	197427	1	2008	902626.74
"37"	17510	1	2000	19570
"38"	18830	1	2002	51674.15
"39"	29324	1	2004	16000
"40"	7348.5	1	2002	6230
"41"	18100	1	2004	9275
"42"	17491	1	2006	38775
"43"	7180	1	2008	29625
"44"	11170	1	2010	15475
"45"	2740	0	1998	12450
"46"	5425	1	2000	13700
"47"	840	1	2002	15850
"48"	4325	1	2004	10125
"49"	30762	0	1998	12393
"50"	14290.12	0	2000	8360
"51"	9916.05	0	2002	10385
"52"	12145	0	2004	10200
"53"	10331.7	0	2000	3400
"54"	5224.55	0	2002	2150
"55"	7975	0	2004	2205.27
"56"	7135	0	2006	1475
"57"	5949.04	0	2008	194.88
"58"	6940	0	2000	5700
"59"	1750	0	2002	3525
"60"	6810	0	2004	3025
"61"	3750	0	2006	3375
"62"	5295	0	2008	0
"63"	5670	0	2010	0
"64"	5465	0	2012	0
"65"	5603	0	1998	18611
"66"	5907.93	0	2000	8695
"67"	3612.7	0	2002	6275
"68"	15283.5	0	2004	7400
"69"	7480	0	2006	4475
"70"	5690	0	2010	0
"71"	3595	0	2012	0
"72"	1500	1	2000	20000
"73"	18800	1	2002	57254.33
"74"	81156.84	1	2004	207984.15
"75"	25067.03	1	2006	209499.16
"76"	9760.01	1	1998	9150
"77"	26964	1	2000	93709
"78"	8593	1	1998	26900
"79"	14988.58	1	2000	38025
"80"	23715	1	2002	65692.5
"81"	1240	1	2004	27100
"82"	37383.05	1	2006	72801.84
"83"	25400	1	2008	73873.96
"84"	71459.75	1	2010	162094.27
"85"	36910.77	1	2012	126025
"86"	0	0	2004	0
"87"	0	0	2008	4575
"88"	2400	0	2000	19454
"89"	4350	0	2002	21000
"90"	2500	0	2004	21150
"91"	13075	0	2006	24607.67
"92"	7500	0	2008	25551.08
"93"	5340	0	2010	26100.09
"94"	19814.52	0	2012	36179.39
"95"	2175	1	2000	8442.03
"96"	9905.42	0	2000	14414.1
"97"	6524.26	0	2002	19819.21
"98"	4450	0	2004	25800
"99"	4025	0	2006	26775
"100"	5375	0	2000	9300
"101"	4650	0	2002	24335
"102"	4894.8	0	2004	23350
"103"	10281	0	2006	55375
"104"	12627.39	0	2008	71800
"105"	-2194.48	0	2010	42500
"106"	7050	0	2012	8428
"107"	7550	0	2004	33799.45
"108"	1150	0	2000	14182
"109"	5325	0	2004	16192.46
"110"	1954.01	0	2006	14949.82
"111"	1300	0	2008	39077.25
"112"	200	0	2010	10400
"113"	23325	1	2000	600
"114"	22240	1	2002	2600
"115"	29280	1	2004	3175
"116"	75145	1	2006	9600
"117"	8072.11	1	2000	3690
"118"	11970	1	2002	6530
"119"	22650	1	2004	6250
"120"	28656	1	2006	3774.29
"121"	9391.24	1	2008	2100
"122"	6717.67	1	2010	0
"123"	6050.7	1	2012	0
"124"	16930.38	1	2000	950
"125"	17250	1	2002	350
"126"	24975	1	2004	1350
"127"	13598.69	1	2006	68
"128"	17790	1	2008	1000
"129"	18925	1	2010	2243.07
"130"	20136.17	1	2012	1005
"131"	116892.69	1	2000	2150
