State,Year,CCI
Alabama,1976,2.6772759
Alabama,1977,2.6452227
Alabama,1978,2.6097124
Alabama,1979,4.9143229
Alabama,1980,8.4748154
Alabama,1981,2.0415819
Alabama,1982,4.0761528
Alabama,1983,6.3546934
Alabama,1984,9.1097269
Alabama,1985,5.0345874
Alabama,1986,4.5095038
Alabama,1987,3.2376485
Alabama,1988,4.2248201
Alabama,1989,6.2031355
Alabama,1990,0.9880178
Alabama,1991,0.48887563
Alabama,1992,1.6911194
Alabama,1993,2.8618376
Alabama,1994,5.4335499
Alabama,1995,1.4075487
Alabama,1996,2.0977066
Alabama,1997,4.3978629
Alabama,1998,1.1491505
Alabama,1999,5.7210069
Alabama,2000,2.6953149
Alabama,2001,5.8196402
Alabama,2002,6.2498746
Alabama,2003,3.1087
Alabama,2004,2.8692949
Alabama,2005,5.6895146
Alabama,2006,11.017546
Alabama,2007,11.128137
Alabama,2008,4.2388959
Alabama,2009,5.8848996
Alabama,2010,3.1382461
Alabama,2011,4.7889328
Alabama,2012,4.5624032
Alabama,2013,4.7582402
Alabama,2014,4.7428741
Alabama,2015,4.120419253
Alaska,1976,9.97583
Alaska,1977,7.43612
Alaska,1978,0
Alaska,1979,0
Alaska,1980,0
Alaska,1981,0
Alaska,1982,0
Alaska,1983,12.2846
Alaska,1984,15.5732
Alaska,1985,16.9016
Alaska,1986,18.3733
Alaska,1987,11.1253
Alaska,1988,0
Alaska,1989,10.9657
Alaska,1990,1.81804
Alaska,1991,0
Alaska,1992,1.70337
Alaska,1993,0
Alaska,1994,0
Alaska,1995,3.32588
Alaska,1996,3.30623
Alaska,1997,4.92735
Alaska,1998,1.62547
Alaska,1999,6.45682
Alaska,2000,25.4792
Alaska,2001,9.46799
Alaska,2002,7.78408
Alaska,2003,0
Alaska,2004,0
Alaska,2005,1.49937
Alaska,2006,4.44246
Alaska,2007,22.0491
Alaska,2008,11.6371
Alaska,2009,1.43083
Alaska,2010,12.6053
Alaska,2011,5.53466
Alaska,2012,5.47715
Alaska,2013,2.7206
Alaska,2014,1.35739543
Alaska,2015,5.422192219
Arizona,1976,0.85245681
Arizona,1977,1.2370114
Arizona,1978,0
Arizona,1979,0.37942457
Arizona,1980,0.73577559
Arizona,1981,2.1351478
Arizona,1982,0
Arizona,1983,1.3472867
Arizona,1984,0.9781099
Arizona,1985,1.2564629
Arizona,1986,1.2090948
Arizona,1987,1.4547148
Arizona,1988,3.1115813
Arizona,1989,7.4540539
Arizona,1990,1.0872343
Arizona,1991,2.126308
Arizona,1992,2.0686107
Arizona,1993,4.0066209
Arizona,1994,2.411056
Arizona,1995,0.46437004
Arizona,1996,1.3536959
Arizona,1997,1.7573881
Arizona,1998,1.0712878
Arizona,1999,1.464947
Arizona,2000,1.5502104
Arizona,2001,0.18962809
Arizona,2002,0.74125552
Arizona,2003,1.8147634
Arizona,2004,1.592244
Arizona,2005,8.2204733
Arizona,2006,2.6537781
Arizona,2007,5.1883368
Arizona,2008,3.1845307
Arizona,2009,2.9953573
Arizona,2010,2.5031211
Arizona,2011,2.7767065
Arizona,2012,5.1882653
Arizona,2013,6.0362597
Arizona,2014,3.8624492
Arizona,2015,2.640238854
Arkansas,1976,0.46079552
Arkansas,1977,1.8107659
Arkansas,1978,0.89161128
Arkansas,1979,1.7610828
Arkansas,1980,2.1868057
Arkansas,1981,1.3082156
Arkansas,1982,0.43587038
Arkansas,1983,5.6380544
Arkansas,1984,2.5864632
Arkansas,1985,1.2891859
Arkansas,1986,3.4305611
Arkansas,1987,2.1346085
Arkansas,1988,4.268652
Arkansas,1989,1.2785761
Arkansas,1990,1.2742425
Arkansas,1991,2.9527516
Arkansas,1992,1.670774
Arkansas,1993,2.475513
Arkansas,1994,1.22419
Arkansas,1995,0
Arkansas,1996,0.39922392
Arkansas,1997,1.9809747
Arkansas,1998,1.9698999
Arkansas,1999,1.9597315
Arkansas,2000,2.9866459
Arkansas,2001,0
Arkansas,2002,1.1086761
Arkansas,2003,6.9729376
Arkansas,2004,6.5461926
Arkansas,2005,1.4382799
Arkansas,2006,3.5438876
Arkansas,2007,2.8083477
Arkansas,2008,1.7394027
Arkansas,2009,1.0356113
Arkansas,2010,5.8300638
Arkansas,2011,2.7229593
Arkansas,2012,5.0862455
Arkansas,2013,1.351639
Arkansas,2014,1.3484495
Arkansas,2015,4.365561362
California,1976,0.50146109
California,1977,0.44737926
California,1978,0.26274303
California,1979,0.64496988
California,1980,0.50701582
California,1981,2.9646833
California,1982,0.48348105
California,1983,0.90694004
California,1984,3.4049931
California,1985,3.3281519
California,1986,3.0624821
California,1987,2.7720578
California,1988,2.5294931
California,1989,3.5594254
California,1990,2.9382205
California,1991,2.235805
California,1992,2.3643036
California,1993,4.398469
California,1994,2.9376829
California,1995,4.572372
California,1996,3.9017267
California,1997,2.6072624
California,1998,2.294785
California,1999,2.6549928
California,2000,2.1772389
California,2001,1.9141809
California,2002,1.8352939
California,2003,2.1274664
California,2004,2.1644657
California,2005,2.3724527
California,2006,1.804493
California,2007,2.0965345
California,2008,1.5845133
California,2009,1.8668225
California,2010,1.1810812
California,2011,1.3796067
California,2012,2.3395565
California,2013,1.643514
California,2014,2.0359514
California,2015,2.205470901
Colorado,1976,0
Colorado,1977,0.37090063
Colorado,1978,0.36143491
Colorado,1979,0
Colorado,1980,0
Colorado,1981,0
Colorado,1982,0.32663086
Colorado,1983,4.1485434
Colorado,1984,2.8391256
Colorado,1985,1.246603
Colorado,1986,3.3977358
Colorado,1987,3.3737364
Colorado,1988,0
Colorado,1989,4.2737389
Colorado,1990,3.0267627
Colorado,1991,3.8603504
Colorado,1992,1.9301752
Colorado,1993,0
Colorado,1994,0
Colorado,1995,0
Colorado,1996,0
Colorado,1997,0
Colorado,1998,0.50390905
Colorado,1999,0.24654043
Colorado,2000,0.6933338
Colorado,2001,4.9709764
Colorado,2002,3.563149
Colorado,2003,1.5456872
Colorado,2004,1.74863
Colorado,2005,2.3748405
Colorado,2006,0.84738225
Colorado,2007,0.62449652
Colorado,2008,0.81804109
Colorado,2009,2.8156607
Colorado,2010,1.1930327
Colorado,2011,1.1726079
Colorado,2012,1.734913
Colorado,2013,0.56943607
Colorado,2014,0.37342206
Colorado,2015,0
Connecticut,1976,0
Connecticut,1977,1.6203674
Connecticut,1978,1.2938159
Connecticut,1979,1.2920231
Connecticut,1980,2.2525566
Connecticut,1981,0
Connecticut,1982,1.2742871
Connecticut,1983,4.7433081
Connecticut,1984,2.5157154
Connecticut,1985,2.1867278
Connecticut,1986,2.171391
Connecticut,1987,2.7715418
Connecticut,1988,4.5844221
Connecticut,1989,3.6547482
Connecticut,1990,2.4323058
Connecticut,1991,1.2163082
Connecticut,1992,3.0534351
Connecticut,1993,0.91678077
Connecticut,1994,4.8954368
Connecticut,1995,2.4500122
Connecticut,1996,1.530442
Connecticut,1997,1.2237992
Connecticut,1998,1.8334271
Connecticut,1999,2.4375157
Connecticut,2000,2.3448172
Connecticut,2001,4.0782676
Connecticut,2002,0.86736536
Connecticut,2003,3.4439807
Connecticut,2004,2.2882707
Connecticut,2005,6.843534
Connecticut,2006,3.1272566
