State,Year,Corrupt* or Fraud* or Bribe*,Politic*,CRI
Alabama,1977,11,48,0.229167
Alabama,1978,21,88,0.238636
Alabama,1979,44,118,0.372881
Alabama,1980,75,358,0.209497
Alabama,1981,56,157,0.356688
Alabama,1982,66,213,0.309859
Alabama,1983,29,164,0.176829
Alabama,1984,51,484,0.105372
Alabama,1985,73,205,0.356098
Alabama,1986,120,355,0.338028
Alabama,1987,48,250,0.192
Alabama,1988,115,345,0.333333
Alabama,1989,75,204,0.367647
Alabama,1990,99,264,0.375
Alabama,1991,112,181,0.618785
Alabama,1992,64,257,0.249027
Alabama,1993,54,184,0.293478
Alabama,1994,3,19,0.157895
Alabama,1995,25,61,0.409836
Alabama,1996,53,274,0.193431
Alabama,1997,57,147,0.387755
Alabama,1998,47,208,0.225962
Alabama,1999,44,166,0.26506
Alabama,2000,87,373,0.233244
Alabama,2001,12,40,0.3
Alabama,2002,101,214,0.471963
Alabama,2003,233,174,1.33908
Alabama,2004,142,197,0.720812
Alabama,2005,401,223,1.79821
Alabama,2006,226,252,0.896825
Alabama,2007,169,212,0.79717
Alabama,2008,215,311,0.691318
Alabama,2009,129,142,0.908451
Alabama,2010,45,128,0.351563
Alabama,2011,87,134,0.649254
Alabama,2012,37,195,0.189744
Alabama,2013,56,146,0.383562
Alaska,1977,7,36,0.194444
Alaska,1978,8,34,0.235294
Alaska,1979,5,107,0.046729
Alaska,1980,14,198,0.070707
Alaska,1981,4,121,0.033058
Alaska,1982,20,159,0.125786
Alaska,1983,9,108,0.083333
Alaska,1984,8,141,0.056738
Alaska,1985,7,121,0.057851
Alaska,1986,30,129,0.232558
Alaska,1987,14,113,0.123894
Alaska,1988,27,169,0.159763
Alaska,1989,48,222,0.216216
Alaska,1990,13,173,0.075145
Alaska,1991,15,134,0.11194
Alaska,1992,28,178,0.157303
Alaska,1993,30,119,0.252101
Alaska,1994,7,22,0.318182
Alaska,1995,3,68,0.044118
Alaska,1996,15,178,0.08427
Alaska,1997,13,131,0.099237
Alaska,1998,11,119,0.092437
Alaska,1999,20,196,0.102041
Alaska,2000,17,291,0.058419
Alaska,2001,12,46,0.26087
Alaska,2002,19,215,0.088372
Alaska,2003,24,290,0.082759
Alaska,2004,19,239,0.079498
Alaska,2005,22,243,0.090535
Alaska,2006,122,248,0.491935
Alaska,2007,170,246,0.691057
Alaska,2008,281,873,0.321879
Alaska,2009,96,328,0.292683
Alaska,2010,60,470,0.12766
Alaska,2011,22,246,0.089431
Alaska,2012,26,130,0.2
Alaska,2013,7,87,0.08046
Arizona,1977,58,65,0.892308
