State,All persons (per capita),Government (per FTE),State & local (per FTE),State (per FTE)
AK,47,42,19,14
AL,30,22,38,38
AR,19,21,24,34
AZ,18,29,11,31
CA,22,32,15,29
CO,7,9,2,6
CT,21,31,30,40
DE,39,38,29,20
FL,28,35,28,30
GA,29,30,31,36
HI,43,40,42,33
IA,1,1,1,1
ID,2,3,16,9
IL,20,23,40,47
IN,13,13,33,12
KS,8,6,6,3
KY,31,33,39,48
LA,46,46,45,43
MA,42,43,41,41
MD,33,24,25,28
ME,17,17,23,32
MI,15,19,27,18
MN,9,10,12,11
MO,24,26,34,25
MS,49,48,48,50
MT,50,50,50,16
NC,6,4,10,24
ND,48,49,46,7
NE,12,11,13,17
NH,11,14,3,2
NJ,45,47,47,39
NM,26,15,20,26
NV,14,27,26,27
NY,44,44,37,44
OH,27,25,32,19
OK,32,28,35,45
OR,5,7,4,8
PA,36,41,44,37
RI,40,45,49,46
SC,35,34,21,35
SD,25,20,14,4
TN,38,39,36,42
TX,16,16,17,23
UT,10,8,7,5
VA,41,37,18,21
VT,23,18,22,15
WA,3,2,5,10
WI,4,5,8,13
WV,37,36,43,49
WY,34,12,9,22
